Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date,Placement_Offer_Count
79,86,66,93,2019,3
60,82,74,86,2021,3
72,94,68,60,2019,1
70,75,55,89,2020,3
66,92,,96,2018,3
80,88,64,95,2010,3
55,76,63,83,2025,2
,79,64,96,2021,3
72,94,73,94,2020,3
64,45,72,,2020,2
65,78,73,100,2018,3
70,83,70,95,2019,3
76,77,69,86,2018,3
61,83,72,97,2018,3
67,86,76,87,2018,3
73,101,71,98,2019,3
71,87,90,76,2018,2
77,87,61,90,2018,3
50,90,67,87,2020,3
75,82,76,96,2018,3
60,83,77,93,2021,3
60,95,69,75,2020,2
75,91,68,88,2018,1
63,83,76,84,2018,2
91,92,,87,2020,3
69,86,40,89,2020,3
72,90,73,110,2021,3
,85,61,98,2100,3
64,98,74,77,2019,2
